empresa,sector,gestion,trimestre,liquidez_corriente,endeudamiento,solvencia,endeudamiento_patrimonial,crecimiento_patrimonial,crecimiento_activos,score_financiero,clasificacion_financiera
CMI,Comercio,2019,4,1.361194,0.752398,1.329084,3.038652,0.092359,-0.084318,61,Saludable
CMI,Comercio,2020,1,1.954412,0.752149,1.329524,3.034681,0.029785,0.028779,63,Saludable
CMI,Comercio,2020,2,2.018622,0.725381,1.378587,2.641404,0.092475,-0.014014,70,Saludable
CMI,Comercio,2020,3,1.934813,0.701414,1.425692,2.349115,0.119418,0.029565,73,Saludable
CMI,Comercio,2020,4,1.919729,0.673133,1.485591,2.059389,0.058898,-0.032699,72,Saludable
CMI,Comercio,2021,1,2.145213,0.657514,1.520879,1.919869,0.059698,0.011371,74,Saludable
CMI,Comercio,2021,2,1.915143,0.691597,1.445929,2.242512,-0.049264,0.055785,62,Saludable
CMI,Comercio,2021,3,2.214928,0.666912,1.499448,2.002173,0.043868,-0.033511,72,Saludable
CMI,Comercio,2021,4,2.647527,0.68338,1.463314,2.158364,0.031063,0.084713,69,Saludable
CMI,Comercio,2022,1,2.869643,0.684323,1.461299,2.16779,0.033545,0.036629,69,Saludable
CMI,Comercio,2022,2,2.05747,0.719952,1.388981,2.570817,0.012325,0.141119,64,Saludable
CMI,Comercio,2022,3,2.225381,0.723978,1.381257,2.622905,-0.007131,0.007353,63,Saludable
CMI,Comercio,2022,4,2.599249,0.722273,1.384519,2.600703,-0.022057,-0.028046,62,Saludable
CMI,Comercio,2023,1,2.612052,0.715717,1.397199,2.517627,-0.003513,-0.026509,64,Saludable
CMI,Comercio,2023,2,2.147261,0.730976,1.368035,2.717135,0.000394,0.057133,63,Saludable
CMI,Comercio,2023,3,1.87618,0.75158,1.33053,3.025498,-0.0009,0.081988,61,Saludable
CMI,Comercio,2023,4,1.824896,0.747502,1.337788,2.960433,0.007655,-0.008636,62,Saludable
CMI,Comercio,2024,1,1.557982,0.776602,1.287661,3.476311,0.003606,0.134334,59,Observación
CMI,Comercio,2024,2,1.372807,0.795091,1.257717,3.880222,0.002427,0.092879,51,Observación
CMI,Comercio,2024,3,1.299799,0.819736,1.219905,4.54741,0.012365,0.150768,46,Observación
CMI,Comercio,2024,4,1.405215,0.819628,1.220065,4.544111,0.075769,0.075129,56,Observación
CMI,Comercio,2025,1,1.534895,0.802805,1.245633,4.071116,0.029931,-0.057938,59,Observación
CMI,Comercio,2025,2,1.337315,0.811097,1.232898,4.293725,0.02803,0.073158,50,Observación
CMI,Comercio,2025,3,1.258064,0.807752,1.238003,4.201626,0.003614,-0.013847,44,Observación
CMI,Comercio,2025,4,1.435252,0.804355,1.243232,4.111303,0.079136,0.060397,59,Observación
CMI,Comercio,2026,1,1.427219,0.777771,1.285725,3.49987,0.050441,-0.075217,59,Observación
CTM,Servicios,2021,2,5.762693,0.588994,1.697809,1.433057,0.114124,0.050791,84,Excelente
CTM,Servicios,2021,3,3.648432,0.603037,1.658273,1.519126,0.123742,0.163494,82,Excelente
CTM,Servicios,2021,4,2.637599,0.587271,1.702791,1.422899,0.063345,0.022726,81,Excelente
CTM,Servicios,2022,1,2.611826,0.554813,1.802408,1.246249,0.141835,0.058586,87,Excelente
CTM,Servicios,2022,2,2.37542,0.581284,1.720331,1.388251,0.015526,0.079725,78,Saludable
CTM,Servicios,2022,3,1.220177,0.601921,1.661349,1.512062,-0.031313,0.018905,58,Observación
CTM,Servicios,2022,4,1.842884,0.61674,1.621428,1.609198,-0.044023,-0.007057,70,Saludable
CTM,Servicios,2023,1,1.965219,0.639336,1.564122,1.772666,0.02328,0.087389,73,Saludable
CTM,Servicios,2023,2,1.566464,0.656836,1.52245,1.91406,-0.069525,-0.022075,64,Saludable
CTM,Servicios,2023,3,1.381821,0.670831,1.490689,2.037951,-0.043657,-0.002998,59,Observación
CTM,Servicios,2023,4,1.363346,0.675948,1.479404,2.085924,-0.042014,-0.026886,57,Observación
CTM,Servicios,2024,1,1.119653,0.684438,1.461053,2.168948,-0.026733,-0.000548,46,Observación
CTM,Servicios,2024,2,1.081409,0.682656,1.464867,2.151152,0.009116,0.003449,47,Observación
CTM,Servicios,2024,3,0.895767,0.699251,1.430101,2.325036,-0.068457,-0.017054,30,Riesgo
CTM,Servicios,2024,4,0.816234,0.685158,1.459518,2.176195,0.067248,0.019474,38,Riesgo
CTM,Servicios,2025,1,0.995737,0.684605,1.460696,2.170627,-0.008621,-0.010359,41,Observación
CTM,Servicios,2025,2,1.65279,0.603546,1.656875,1.522359,0.417506,0.127682,82,Excelente
CTM,Servicios,2025,3,1.316409,0.613183,1.630835,1.5852,-0.022718,0.001629,62,Saludable
CTM,Servicios,2025,4,2.012105,0.531698,1.880767,1.135374,0.401523,0.157657,90,Excelente
CTM,Servicios,2026,1,2.118906,0.552356,1.810426,1.233918,-0.049391,-0.005522,75,Saludable
NXS,Comercio,2023,1,2.665788,0.623075,1.604944,1.653046,0.05849,0.046664,77,Saludable
NXS,Comercio,2023,2,2.465502,0.630349,1.586424,1.70532,0.050614,0.071331,76,Saludable
NXS,Comercio,2023,3,2.448237,0.624718,1.600721,1.664731,0.024068,0.008703,74,Saludable
NXS,Comercio,2023,4,2.375554,0.623375,1.60417,1.655163,0.03233,0.028608,75,Saludable
NXS,Comercio,2024,1,2.32195,0.630085,1.587089,1.70332,-0.003629,0.014442,71,Saludable
NXS,Comercio,2024,2,2.325854,0.620692,1.611105,1.636379,0.073489,0.046907,79,Saludable
NXS,Comercio,2024,3,2.293978,0.606225,1.649553,1.539521,0.070311,0.030988,80,Excelente
NXS,Comercio,2024,4,3.322647,0.624067,1.602391,1.660051,0.039107,0.088425,75,Saludable
